cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,avg_life_Q1,avg_life_Q2,avg_life_Q3,avg_life_Q4,avg_life_M,avg_life_F,avg_life_all
100,Johnson City,576081,47,Tennessee,TN,81.803154,82.236778,84.030312,84.421387,86.322166,86.651878,87.82888,88.09465,75.476265,75.968956,80.273422,80.704201,83.009087,83.381584,84.409355,84.76358,78.87128825,82.3573305,84.84117875,86.27411625,80.99830625,85.17365063,83.08597844
200,Morristown,227816,47,Tennessee,TN,81.326363,81.764053,83.956436,84.343384,84.872223,85.250847,88.110596,88.289772,74.956512,75.419853,80.144463,80.550888,82.094635,82.469414,84.141571,84.473213,78.36669525,82.24879275,83.67177975,86.253788,80.53131863,84.73920925,82.63526394
301,Middlesborough,66708,47,Tennessee,TN,82.440483,82.890648,85.683884,85.949814,85.750008,86.093452,86.434357,86.47567,75.580559,76.098907,80.749657,81.105942,83.154846,83.543991,86.844643,86.922371,79.25264925,83.37232425,84.63557425,86.66926025,81.7501145,85.2147895,83.482452
302,Knoxville,727600,47,Tennessee,TN,80.880814,81.411613,83.724632,84.124176,85.699905,86.081345,88.330414,88.530319,74.505943,75.08934,79.544472,79.983749,83.133629,83.535843,85.453163,85.72937,77.9719275,81.84425725,84.6126805,87.0108165,80.87193863,84.84790225,82.85992044
401,Winston-Salem,493180,37,North Carolina,NC,81.29409,82.032745,84.224304,84.751465,85.669189,86.107285,86.874992,87.214569,75.125519,75.910576,79.74131,80.330276,82.336601,82.832664,85.61615,85.945572,78.5907325,82.26183875,84.23643475,86.41282075,80.9798335,84.77107988,82.87545669
402,Martinsville,92753,51,Virginia,VA,82.299667,83.158401,85.154892,85.643509,86.130531,86.697464,85.243446,85.713409,74.687737,75.743217,82.14489,82.684021,82.431511,83.081902,83.243187,83.726303,78.9722555,83.906828,84.585352,84.48158625,80.967846,85.00516488,82.98650544
500,Greensboro,1055133,37,North Carolina,NC,81.492355,82.368538,84.174362,84.737312,85.823166,86.265373,87.680077,87.96936,75.147202,76.112083,79.143562,79.780579,82.416275,82.90731,85.043098,85.389442,78.7800445,81.95895375,84.353031,86.52049425,80.74244388,85.06381788,82.90313088
601,North Wilkesboro,90016,37,North Carolina,NC,83.356812,83.710175,84.687782,85.09481,86.640327,86.918228,86.649422,87.039001,76.810455,77.235046,80.486969,80.949142,82.343246,82.738152,84.148056,84.524254,80.278122,82.80467575,84.65998825,85.59018325,81.154415,85.51206963,83.33324231
602,Galax,64676,51,Virginia,VA,82.203163,82.625916,84.880333,85.239449,87.635635,87.881416,89.186638,89.373894,77.35186,77.784325,80.106018,80.552711,83.183044,83.565536,84.979385,85.333481,79.991316,82.69462775,85.56640775,87.2183495,81.607045,86.1283055,83.86767525
700,Spartanburg,354533,45,South Carolina,SC,81.381172,82.255867,83.923584,84.498672,85.502129,85.891869,88.083511,88.344147,73.705917,74.685555,79.190536,79.841705,81.773354,82.209328,84.271461,84.618057,78.00712775,81.86362425,83.84417,86.329294,80.03698913,84.98511888,82.511054
